date_entrée,2024-04-30,,montant_€,10000,,btc_futur_usd,70000
"Modifie B1 (date), E1 (montant), H1 (prix BTC futur) pour explorer",,,,,,,
date,btc_close,position,equity_strat_base100,equity_hodl_base100,equity_perso_strat,equity_perso_hodl
2016-05-31,532.06,0.5,100,100,"=IF(A4<$B$1,0,IF(A4=$B$1,$E$1,0))","=IF(A4<$B$1,0,IF(A4=$B$1,$E$1,0))"
2016-06-30,666.84,0.5,=D4*(1+C4*(B5/B4-1)),=100*B5/B$4,"=IF(A5<$B$1,0,IF(A4<$B$1,$E$1,F4*(1+C4*(B5/B4-1))))","=IF(A5<$B$1,0,IF(A4<$B$1,$E$1,G4*B5/B4))"
2016-07-31,620.01,0.5,=D5*(1+C5*(B6/B5-1)),=100*B6/B$4,"=IF(A6<$B$1,0,IF(A5<$B$1,$E$1,F5*(1+C5*(B6/B5-1))))","=IF(A6<$B$1,0,IF(A5<$B$1,$E$1,G5*B6/B5))"
2016-08-31,570.76,0.5,=D6*(1+C6*(B7/B6-1)),=100*B7/B$4,"=IF(A7<$B$1,0,IF(A6<$B$1,$E$1,F6*(1+C6*(B7/B6-1))))","=IF(A7<$B$1,0,IF(A6<$B$1,$E$1,G6*B7/B6))"
2016-09-30,608.26,0.5,=D7*(1+C7*(B8/B7-1)),=100*B8/B$4,"=IF(A8<$B$1,0,IF(A7<$B$1,$E$1,F7*(1+C7*(B8/B7-1))))","=IF(A8<$B$1,0,IF(A7<$B$1,$E$1,G7*B8/B7))"
2016-10-31,697.67,0.5,=D8*(1+C8*(B9/B8-1)),=100*B9/B$4,"=IF(A9<$B$1,0,IF(A8<$B$1,$E$1,F8*(1+C8*(B9/B8-1))))","=IF(A9<$B$1,0,IF(A8<$B$1,$E$1,G8*B9/B8))"
2016-11-30,742.06,0.5,=D9*(1+C9*(B10/B9-1)),=100*B10/B$4,"=IF(A10<$B$1,0,IF(A9<$B$1,$E$1,F9*(1+C9*(B10/B9-1))))","=IF(A10<$B$1,0,IF(A9<$B$1,$E$1,G9*B10/B9))"
2016-12-31,964.32,0.5,=D10*(1+C10*(B11/B10-1)),=100*B11/B$4,"=IF(A11<$B$1,0,IF(A10<$B$1,$E$1,F10*(1+C10*(B11/B10-1))))","=IF(A11<$B$1,0,IF(A10<$B$1,$E$1,G10*B11/B10))"
2017-01-31,965.01,0.5,=D11*(1+C11*(B12/B11-1)),=100*B12/B$4,"=IF(A12<$B$1,0,IF(A11<$B$1,$E$1,F11*(1+C11*(B12/B11-1))))","=IF(A12<$B$1,0,IF(A11<$B$1,$E$1,G11*B12/B11))"
2017-02-28,1191.21,0.5,=D12*(1+C12*(B13/B12-1)),=100*B13/B$4,"=IF(A13<$B$1,0,IF(A12<$B$1,$E$1,F12*(1+C12*(B13/B12-1))))","=IF(A13<$B$1,0,IF(A12<$B$1,$E$1,G12*B13/B12))"
2017-03-31,1070.31,0.5,=D13*(1+C13*(B14/B13-1)),=100*B14/B$4,"=IF(A14<$B$1,0,IF(A13<$B$1,$E$1,F13*(1+C13*(B14/B13-1))))","=IF(A14<$B$1,0,IF(A13<$B$1,$E$1,G13*B14/B13))"
2017-04-30,1350.21,1.0,=D14*(1+C14*(B15/B14-1)),=100*B15/B$4,"=IF(A15<$B$1,0,IF(A14<$B$1,$E$1,F14*(1+C14*(B15/B14-1))))","=IF(A15<$B$1,0,IF(A14<$B$1,$E$1,G14*B15/B14))"
2017-05-31,2298.01,1.0,=D15*(1+C15*(B16/B15-1)),=100*B16/B$4,"=IF(A16<$B$1,0,IF(A15<$B$1,$E$1,F15*(1+C15*(B16/B15-1))))","=IF(A16<$B$1,0,IF(A15<$B$1,$E$1,G15*B16/B15))"
2017-06-30,2465.49,1.0,=D16*(1+C16*(B17/B16-1)),=100*B17/B$4,"=IF(A17<$B$1,0,IF(A16<$B$1,$E$1,F16*(1+C16*(B17/B16-1))))","=IF(A17<$B$1,0,IF(A16<$B$1,$E$1,G16*B17/B16))"
2017-07-31,2855.81,1.0,=D17*(1+C17*(B18/B17-1)),=100*B18/B$4,"=IF(A18<$B$1,0,IF(A17<$B$1,$E$1,F17*(1+C17*(B18/B17-1))))","=IF(A18<$B$1,0,IF(A17<$B$1,$E$1,G17*B18/B17))"
2017-08-31,4734.26,1.0,=D18*(1+C18*(B19/B18-1)),=100*B19/B$4,"=IF(A19<$B$1,0,IF(A18<$B$1,$E$1,F18*(1+C18*(B19/B18-1))))","=IF(A19<$B$1,0,IF(A18<$B$1,$E$1,G18*B19/B18))"
2017-09-30,4326.09,1.0,=D19*(1+C19*(B20/B19-1)),=100*B20/B$4,"=IF(A20<$B$1,0,IF(A19<$B$1,$E$1,F19*(1+C19*(B20/B19-1))))","=IF(A20<$B$1,0,IF(A19<$B$1,$E$1,G19*B20/B19))"
2017-10-31,6434.21,1.0,=D20*(1+C20*(B21/B20-1)),=100*B21/B$4,"=IF(A21<$B$1,0,IF(A20<$B$1,$E$1,F20*(1+C20*(B21/B20-1))))","=IF(A21<$B$1,0,IF(A20<$B$1,$E$1,G20*B21/B20))"
